478|N|Airport Terminal E-F|Wayne Jct|2016-03-23|On Time|2016-03-23 00:49:43
780|N|Trenton|Bridesburg|2016-03-23|On Time|2016-03-23 00:50:12
6281|S|Elm|Conshohocken|2016-03-23|On Time|2016-03-23 00:50:12
6779|S|Chestnut Hill East|Jefferson Station|2016-03-23|On Time|2016-03-23 00:51:00
598|N|Thorndale|Glenside|2016-03-23|On Time|2016-03-23 00:51:37
6281|S|Elm|Spring Mill|2016-03-23|On Time|2016-03-23 00:52:11
6464|N|Powelton Yard|Hatboro|2016-03-23|On Time|2016-03-23 00:52:18
6779|S|Chestnut Hill East|Suburban Station|2016-03-23|On Time|2016-03-23 00:53:00
478|N|Airport Terminal E-F|Fern Rock TC|2016-03-23|On Time|2016-03-23 00:53:43
598|N|Thorndale|North Hills|2016-03-23|On Time|2016-03-23 00:53:57
6779|S|Chestnut Hill East|30th Street Station|2016-03-23|On Time|2016-03-23 00:55:01
6281|S|Elm|Miquon|2016-03-23|On Time|2016-03-23 00:55:41
478|N|Airport Terminal E-F|Melrose Park|2016-03-23|On Time|2016-03-23 00:55:43
598|N|Thorndale|Oreland|2016-03-23|On Time|2016-03-23 00:55:57
9266|N|Wilmington|Claymont|2016-03-23|On Time|2016-03-23 00:56:05
6464|N|Powelton Yard|Warminster|2016-03-23|On Time|2016-03-23 00:56:18
780|N|Trenton|North Philadelphia|2016-03-23|On Time|2016-03-23 00:57:04
478|N|Airport Terminal E-F|Elkins Park|2016-03-23|On Time|2016-03-23 00:57:34
478|N|Airport Terminal E-F|Jenkintown-Wyncote|2016-03-23|On Time|2016-03-23 00:59:33
598|N|Thorndale|Ft Washington|2016-03-23|On Time|2016-03-23 00:59:38
9266|N|Wilmington|Marcus Hook|2016-03-23|On Time|2016-03-23 01:00:05
6281|S|Elm|Ivy Ridge|2016-03-23|On Time|2016-03-23 01:01:00
6281|S|Elm|Manayunk|2016-03-23|On Time|2016-03-23 01:03:00
598|N|Thorndale|Ambler|2016-03-23|On Time|2016-03-23 01:03:02
9266|N|Wilmington|Highland Ave|2016-03-23|On Time|2016-03-23 01:03:12
478|N|Airport Terminal E-F|Glenside|2016-03-23|On Time|2016-03-23 01:03:27
6281|S|Elm|Wissahickon|2016-03-23|On Time|2016-03-23 01:05:01
9266|N|Wilmington|Chester TC|2016-03-23|On Time|2016-03-23 01:05:11
598|N|Thorndale|Penllyn|2016-03-23|On Time|2016-03-23 01:05:29
6281|S|Elm|East Falls|2016-03-23|On Time|2016-03-23 01:06:12
780|N|Trenton|30th Street Station|2016-03-23|On Time|2016-03-23 01:06:26
9266|N|Wilmington|Eddystone|2016-03-23|On Time|2016-03-23 01:07:10
598|N|Thorndale|Gwynedd Valley|2016-03-23|On Time|2016-03-23 01:07:57
9266|N|Wilmington|Crum Lynne|2016-03-23|On Time|2016-03-23 01:08:05
9266|N|Wilmington|Ridley Park|2016-03-23|On Time|2016-03-23 01:09:10
6281|S|Elm|Allegheny|2016-03-23|On Time|2016-03-23 01:09:41
598|N|Thorndale|North Wales|2016-03-23|On Time|2016-03-23 01:09:57
780|N|Trenton|Suburban Station|2016-03-23|1 min|2016-03-23 01:10:26
9266|N|Wilmington|Prospect Park|2016-03-23|On Time|2016-03-23 01:11:02
598|N|Thorndale|Pennbrook|2016-03-23|On Time|2016-03-23 01:11:57
9266|N|Wilmington|Norwood|2016-03-23|On Time|2016-03-23 01:12:10
6281|S|Elm|North Broad St|2016-03-23|On Time|2016-03-23 01:12:12
780|N|Trenton|Jefferson Station|2016-03-23|On Time|2016-03-23 01:13:47
9266|N|Wilmington|Glenolden|2016-03-23|On Time|2016-03-23 01:14:10
6281|S|Elm|Temple U|2016-03-23|On Time|2016-03-23 01:14:12
9266|N|Wilmington|Folcroft|2016-03-23|On Time|2016-03-23 01:15:12
9266|N|Wilmington|Sharon Hill|2016-03-23|On Time|2016-03-23 01:17:12
598|N|Thorndale|Lansdale|2016-03-23|On Time|2016-03-23 01:17:48
9266|N|Wilmington|Curtis Park|2016-03-23|On Time|2016-03-23 01:18:09
780|N|Trenton|Temple U|2016-03-23|On Time|2016-03-23 01:18:25
6281|S|Elm|Jefferson Station|2016-03-23|On Time|2016-03-23 01:19:40
598|N|Thorndale|9th St|2016-03-23|On Time|2016-03-23 01:19:48
9266|N|Wilmington|Darby|2016-03-23|On Time|2016-03-23 01:20:11
6281|S|Elm|Suburban Station|2016-03-23|On Time|2016-03-23 01:21:00
598|N|Thorndale|Fortuna|2016-03-23|On Time|2016-03-23 01:23:15
6281|S|Elm|30th Street Station|2016-03-23|On Time|2016-03-23 01:25:01
598|N|Thorndale|Colmar|2016-03-23|On Time|2016-03-23 01:25:04
780|N|Trenton|Wayne Jct|2016-03-23|1 min|2016-03-23 01:25:05
9266|N|Wilmington|University City|2016-03-23|1 min|2016-03-23 01:27:41
598|N|Thorndale|Chalfont|2016-03-23|On Time|2016-03-23 01:27:49
780|N|Trenton|Wister|2016-03-23|2 min|2016-03-23 01:28:26
780|N|Trenton|Germantown|2016-03-23|2 min|2016-03-23 01:29:29
780|N|Trenton|Washington Lane|2016-03-23|On Time|2016-03-23 01:30:19
9266|N|Wilmington|30th Street Station|2016-03-23|2 min|2016-03-23 01:31:01
598|N|Thorndale|New Britain|2016-03-23|On Time|2016-03-23 01:31:15
780|N|Trenton|Stenton|2016-03-23|On Time|2016-03-23 01:32:09
9266|N|Wilmington|Suburban Station|2016-03-23|2 min|2016-03-23 01:34:11
780|N|Trenton|Sedgwick|2016-03-23|On Time|2016-03-23 01:34:25
780|N|Trenton|Mt Airy|2016-03-23|On Time|2016-03-23 01:35:46
9266|N|Wilmington|Jefferson Station|2016-03-23|1 min|2016-03-23 01:36:12
598|N|Thorndale|Doylestown|2016-03-23|On Time|2016-03-23 01:37:15
780|N|Trenton|Wyndmoor|2016-03-23|1 min|2016-03-23 01:38:26
780|N|Trenton|Gravers|2016-03-23|On Time|2016-03-23 01:39:28
9266|N|Wilmington|Temple U|2016-03-23|On Time|2016-03-23 01:40:11
780|N|Trenton|Chestnut Hill East|2016-03-23|On Time|2016-03-23 01:41:02
401|S|None|None|2016-03-23|On Time|2016-03-23 04:02:41
401|S|Fern Rock TC|Wayne Jct|2016-03-23|1 min|2016-03-23 04:07:19
1701|S|None|None|2016-03-23|On Time|2016-03-23 04:11:14
401|S|Fern Rock TC|Temple U|2016-03-23|1 min|2016-03-23 04:14:01
1701|S|Suburban Station|30th Street Station|2016-03-23|On Time|2016-03-23 04:18:01
1502|N|None|None|2016-03-23|On Time|2016-03-23 04:19:27
401|S|Fern Rock TC|Jefferson Station|2016-03-23|2 min|2016-03-23 04:20:02
403|S|None|None|2016-03-23|On Time|2016-03-23 04:21:20
401|S|Fern Rock TC|Suburban Station|2016-03-23|On Time|2016-03-23 04:22:16
1502|N|Frazer Yard|Malvern|2016-03-23|On Time|2016-03-23 04:22:55
403|S|Glenside|Jenkintown-Wyncote|2016-03-23|On Time|2016-03-23 04:24:34
1502|N|Frazer Yard|Paoli|2016-03-23|On Time|2016-03-23 04:26:56
401|S|Fern Rock TC|30th Street Station|2016-03-23|On Time|2016-03-23 04:28:16
1701|S|Suburban Station|North Philadelphia|2016-03-23|On Time|2016-03-23 04:28:17
403|S|Glenside|Elkins Park|2016-03-23|2 min|2016-03-23 04:28:21
403|S|Glenside|Melrose Park|2016-03-23|1 min|2016-03-23 04:30:21
