51|4673689|HM275032|03/31/2006 04:30:00 PM|023XX N MILWAUKEE AVE|0820|THEFT|$500 AND UNDER|RESIDENCE|False|False|1414|14.0|35.0|22.0|06|1157264.0|1915189.0|2006|04/15/2016 08:55:02 AM|41.923045523|-87.697581087|(41.923045523, -87.697581087)
52|4673691|HM272954|04/05/2006 06:40:00 AM|049XX W GUNNISON ST|0560|ASSAULT|SIMPLE|RESIDENCE|False|True|1623|16.0|45.0|12.0|08A|1142443.0|1931792.0|2006|04/15/2016 08:55:02 AM|41.968894301|-87.751625046|(41.968894301, -87.751625046)
53|4673692|HM273295|04/05/2006 12:50:39 PM|077XX W HORTENSE AVE|0910|MOTOR VEHICLE THEFT|AUTOMOBILE|STREET|False|False|1612|16.0|41.0|10.0|07|1123723.0|1941522.0|2006|04/15/2016 08:55:02 AM|41.995922601|-87.820245184|(41.995922601, -87.820245184)
54|4673693|HM263378|03/28/2006 03:48:00 PM|068XX S NORMAL BLVD|0820|THEFT|$500 AND UNDER|SCHOOL, PUBLIC, BUILDING|False|False|722|7.0|6.0|68.0|06|1174130.0|1859520.0|2006|04/15/2016 08:55:02 AM|41.769925563|-87.637267875|(41.769925563, -87.637267875)
55|4673697|HM202338|02/26/2006 02:46:14 PM|041XX N RICHMOND ST|2092|NARCOTICS|SOLICIT NARCOTICS ON PUBLICWAY|SIDEWALK|True|False|1724|17.0|33.0|16.0|26|1155976.0|1927357.0|2006|04/15/2016 08:55:02 AM|41.956461477|-87.701984374|(41.956461477, -87.701984374)
56|4673698|HM187131|02/17/2006 09:15:00 PM|015XX S SPAULDING AVE|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|RESIDENCE PORCH/HALLWAY|True|False|1021|10.0|24.0|29.0|18|1154616.0|1892229.0|2006|04/15/2016 08:55:02 AM|41.860094531|-87.707925692|(41.860094531, -87.707925692)
57|4673703|HM263399|03/31/2006 10:40:00 AM|064XX S HERMITAGE AVE|0820|THEFT|$500 AND UNDER|RESIDENCE|True|True|725|7.0|15.0|67.0|06|1165776.0|1861992.0|2006|04/15/2016 08:55:02 AM|41.776890504|-87.667819959|(41.776890504, -87.667819959)
58|4673705|HM275065|04/05/2006 09:00:00 PM|070XX S JUSTINE ST|0820|THEFT|$500 AND UNDER|STREET|False|False|734|7.0|17.0|67.0|06|1167220.0|1858094.0|2006|04/15/2016 08:55:02 AM|41.7661631|-87.662637731|(41.7661631, -87.662637731)
59|4673706|HM274741|04/03/2006 10:00:00 PM|008XX W 66TH ST|5002|OTHER OFFENSE|OTHER VEHICLE OFFENSE|RESIDENCE|False|False|723|7.0|16.0|68.0|26|1171666.0|1861083.0|2006|04/15/2016 08:55:02 AM|41.774268989|-87.646254049|(41.774268989, -87.646254049)
60|4673710|HM202472|02/26/2006 04:37:05 PM|034XX N HALSTED ST|2027|NARCOTICS|POSS: CRACK|SIDEWALK|True|False|2331|19.0|44.0|6.0|18|1170308.0|1923271.0|2006|04/15/2016 08:55:02 AM|41.944947517|-87.64941627|(41.944947517, -87.64941627)
