||194560|2007|1900|77|||None|man|5|5|diesel|2015-11-14 18:54:02.611636+00|2016-01-27 20:40:15.46361+00|5921.54
seat|ibiza|123300|2005|1200|47|||None|man|5|5|gasoline|2015-11-14 18:54:02.648267+00|2016-01-27 20:40:15.46361+00|2701.7
||99802|2002|1900|74|||None|man|5|5|diesel|2015-11-14 18:54:02.65777+00|2016-01-27 20:40:15.46361+00|3330.87
kia||43185|2010|1400|73|||None|man|5|5|gasoline|2015-11-14 18:54:02.666459+00|2016-01-27 20:40:15.46361+00|7401.92
citroen|xsara-picasso|159778|2002|1600|70|||None|man|5|5|gasoline|2015-11-14 18:54:02.674817+00|2016-01-27 20:40:15.46361+00|2220.58
skoda|octavia|173666|2008|2000|103|||None|man|5|5|diesel|2015-11-14 18:54:02.707599+00|2016-01-27 20:40:15.46361+00|9030.35
skoda|fabia|292165|2001|1400|50|||None|man|5|5|gasoline|2015-11-14 18:54:02.733117+00|2016-01-27 20:40:15.46361+00|1480.38
||91041|2007|1500|78|||None|man|5|7|diesel|2015-11-14 18:54:02.741505+00|2016-01-27 20:40:15.46361+00|6291.64
skoda|octavia|70295|2009|1900|74|||None|man|5|5|diesel|2015-11-14 18:54:02.75453+00|2016-01-27 20:40:15.46361+00|6994.82
ford|focus|176899|2008|1600|80|||None|man|5|5|diesel|2015-11-14 18:54:02.789903+00|2016-01-27 20:40:15.46361+00|4996.3
bmw|x6|107763|2008|3000|225|||None|auto|5|4|gasoline|2015-11-14 18:54:02.821173+00|2016-01-27 20:40:15.46361+00|22205.77
skoda|yeti|148100|2010|2000|103|||None|man|5|5|diesel|2015-11-14 18:54:02.829918+00|2016-01-27 20:40:15.46361+00|12213.18
bmw||65030|2012|2000|135|||None|auto|4|5|diesel|2015-11-14 18:54:02.852718+00|2016-01-27 20:40:15.46361+00|20355.29
hyundai|i20|29934|2010|1200|57|||None|man|5|5|gasoline|2015-11-14 18:54:02.869098+00|2016-01-27 20:40:15.46361+00|5773.5
citroen|c5|52542|2007|1700|92|||None|man|5|5|gasoline|2015-11-14 18:54:02.88719+00|2016-01-27 20:40:15.46361+00|5551.44
skoda|fabia|45128|2007|1200|51|||None|man|5|5|gasoline|2015-11-14 18:54:02.919133+00|2016-01-27 20:40:15.46361+00|4885.27
skoda|fabia|176533|2004|1400|55|||None|man|5|5|diesel|2015-11-14 18:54:14.637839+00|2016-01-27 20:40:15.46361+00|3182.83
ford|c-max|163810|2007|1800|85|||None|man|5|5|diesel|2015-11-14 18:54:14.661249+00|2016-01-27 20:40:15.46361+00|4811.25
opel|corsa|91743|2008|1200|59|||None|man|3|5|gasoline|2015-11-14 18:54:14.671847+00|2016-01-27 20:40:15.46361+00|4404.15
skoda|fabia|148165|2006|1900|74|||None|man|5|5|diesel|2015-11-14 18:54:14.682782+00|2016-01-27 20:40:15.46361+00|3700.96
citroen|xsara|164949|2005|2000|66|||None|man|5|None|diesel|2015-11-14 18:54:14.690473+00|2016-01-27 20:40:15.46361+00|2405.63
skoda|fabia|7993|2015|1200|81|||None|man|5|5|gasoline|2015-11-14 18:54:14.70052+00|2016-01-27 20:40:15.46361+00|11102.89
skoda|roomster|56145|2008|1200|51|||None|man|5|5|gasoline|2015-11-14 18:54:14.748641+00|2016-01-27 20:40:15.46361+00|5551.44
nissan|qashqai|44450|2010|2000|110|||None|man|5|5|diesel|2015-11-14 18:54:14.758092+00|2016-01-27 20:40:15.46361+00|13693.56
||297647|1992|1400|40|||None|man|3|5|gasoline|2015-11-14 18:54:14.766682+00|2016-01-27 20:40:15.46361+00|629.16
hyundai|accent|97682|2007|1500|81|||None|man|4|5|diesel|2015-11-14 18:54:14.774272+00|2016-01-27 20:40:15.46361+00|3700.96
||182282|2008|1900|85|||None|man|5|5|diesel|2015-11-14 18:54:14.786339+00|2016-01-27 20:40:15.46361+00|7401.92
||150000|2004|1500|74|||None|man|5|5|diesel|2015-11-14 18:54:14.81122+00|2016-01-27 20:40:15.46361+00|3330.87
||210866|1999|1800|110|||None|man|3|5|gasoline|2015-11-14 18:54:14.825026+00|2016-01-27 20:40:15.46361+00|1850.48
skoda|octavia|182668|2007|1600|75|||None|man|5|5|gasoline|2015-11-14 18:54:14.835211+00|2016-01-27 20:40:15.46361+00|5181.35
citroen|c4|99039|2006|1400|65|||None|man|5|5|gasoline|2015-11-14 18:54:14.868811+00|2016-01-27 20:40:15.46361+00|4071.06
ford|focus|158285|2001|1600|74|||None|man|5|5|gasoline|2015-11-14 18:54:14.876897+00|2016-01-27 20:40:15.46361+00|1702.44
||194352|2004|1800|110|||None|man|5|5|gasoline|2015-11-14 18:54:14.892127+00|2016-01-27 20:40:15.46361+00|2590.67
skoda|felicia|214038|1998|1600|55|||None|man|5|5|gasoline|2015-11-14 18:54:14.908849+00|2016-01-27 20:40:15.46361+00|1110.29
||173251|2011|2000|103|||None|man|5|5|diesel|2015-11-14 18:54:14.925296+00|2016-01-27 20:40:15.46361+00|10399.7
skoda|superb|218607|2008|2000|103|||None|man|5|5|diesel|2015-11-14 18:54:14.949427+00|2016-01-27 20:40:15.46361+00|7401.92
||143529|2003|1800|88|||None|man|5|5|gasoline|2015-11-14 18:54:15.023999+00|2016-01-27 20:40:15.46361+00|2701.7
ford|fusion|214961|2004|1400|50|||None|man|5|5|diesel|2015-11-14 18:54:15.032271+00|2016-01-27 20:40:15.46361+00|2220.58
skoda|octavia|105430|2008|1600|75|||None|man|5|5|gasoline|2015-11-14 18:54:15.614257+00|2016-01-27 20:40:15.46361+00|4811.25
skoda|fabia|112100|2007|1400|59|||None|man|5|4|gasoline|2015-11-14 18:54:15.622975+00|2016-01-27 20:40:15.46361+00|2886.75
skoda|roomster|117414|2006|1900|77|||None|man|5|5|diesel|2015-11-14 18:54:15.631931+00|2016-01-27 20:40:15.46361+00|5625.46
